,date,Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Sunrise,Sunset,Month
0,2018-12-31,15.872727272727273,3.2636363636363637,131.9090909090909,418.6363636363636,342.0,10.272727272727273,58.92727272727272,996.4818181818181,296.3636363636364,3.336363636363636,9,0,12
1,2019-01-01,15.818181818181815,9.027272727272727,169.54545454545453,233.9090909090909,292.54545454545456,12.090909090909092,64.39090909090909,995.6454545454545,267.45454545454544,2.272727272727273,9,0,1
2,2019-01-02,16.90909090909091,8.045454545454545,175.72727272727272,203.45454545454547,287.72727272727275,14.318181818181818,64.42727272727274,995.6818181818181,109.0909090909091,1.8636363636363633,9,0,1
3,2019-01-03,16.554545454545455,7.318181818181818,164.45454545454547,276.72727272727275,307.09090909090907,12.19090909090909,64.49999999999999,996.5454545454545,299.27272727272725,3.4545454545454546,9,0,1
4,2019-01-04,15.881818181818181,44.79090909090909,127.63636363636364,73.63636363636364,157.72727272727272,14.763636363636364,64.05454545454546,995.3727272727272,307.54545454545456,2.190909090909091,9,0,1
5,2019-01-05,16.290909090909093,6.236363636363635,161.0909090909091,277.1818181818182,308.90909090909093,17.10909090909091,63.00909090909091,994.3818181818181,117.0909090909091,3.6363636363636362,9,0,1
6,2019-01-06,15.22727272727273,33.763636363636365,160.9090909090909,5.818181818181818,164.1818181818182,17.88181818181818,74.96363636363635,993.0272727272727,122.0,1.7181818181818185,9,0,1
7,2019-01-07,14.990909090909094,8.772727272727272,173.1818181818182,239.36363636363637,304.6363636363636,12.936363636363637,72.66363636363637,995.1454545454545,336.90909090909093,1.9727272727272727,9,0,1
8,2019-01-08,15.681818181818182,8.227272727272727,150.72727272727272,364.90909090909093,332.1818181818182,13.372727272727273,64.61818181818181,993.2818181818183,293.0,3.6727272727272724,9,0,1
9,2019-01-09,16.083333333333332,2.5083333333333333,109.91666666666667,445.5833333333333,332.25,11.783333333333333,61.59166666666667,992.6666666666666,305.0,3.9250000000000003,9,0,1
10,2019-01-10,16.008333333333336,6.600000000000001,121.08333333333333,403.25,326.4166666666667,11.133333333333333,60.31666666666666,992.3916666666665,274.5833333333333,2.191666666666667,9,0,1
11,2019-01-11,15.725,10.208333333333332,176.5,165.16666666666666,268.5833333333333,15.25,63.69166666666667,994.0166666666668,129.5,1.691666666666667,9,0,1
12,2019-01-12,16.508333333333333,19.325,163.75,88.33333333333333,211.33333333333334,16.241666666666667,64.76666666666668,993.0083333333333,161.58333333333334,1.5333333333333332,9,0,1
13,2019-01-13,17.05,9.141666666666666,181.41666666666666,115.58333333333333,247.0,16.28333333333333,65.725,995.1,175.16666666666666,1.575,9,0,1
14,2019-01-14,15.333333333333336,0.625,69.5,639.9166666666666,379.0,5.2,49.9,994.6916666666666,305.3333333333333,4.633333333333334,9,0,1
15,2019-01-15,14.758333333333331,50.5,142.16666666666666,48.666666666666664,168.41666666666666,8.7,50.28333333333334,993.6083333333335,302.0833333333333,4.025,9,0,1
16,2019-01-16,14.983333333333333,39.458333333333336,170.83333333333334,41.0,188.5,12.208333333333334,59.49166666666667,993.6833333333333,169.08333333333334,0.9250000000000002,9,0,1
17,2019-01-17,16.191666666666666,3.983333333333334,150.83333333333334,329.6666666666667,321.25,10.733333333333334,62.324999999999996,992.4666666666667,308.0833333333333,2.1166666666666667,9,0,1
18,2019-01-18,16.458333333333332,9.4,129.83333333333334,390.5833333333333,335.25,11.341666666666667,60.133333333333326,992.7666666666668,291.0833333333333,2.3750000000000004,9,0,1
19,2019-01-19,17.924999999999997,9.041666666666666,134.83333333333334,377.8333333333333,330.5,14.816666666666665,57.474999999999994,992.725,288.0833333333333,2.65,9,0,1
20,2019-01-20,20.025,27.150000000000002,155.25,206.08333333333334,281.3333333333333,18.858333333333334,61.025000000000006,991.9250000000001,203.5,1.1666666666666667,9,0,1
21,2019-01-21,18.73333333333333,62.541666666666664,75.0,19.916666666666668,87.5,23.941666666666666,70.53333333333333,989.2166666666667,137.83333333333334,4.391666666666667,9,0,1
22,2019-01-22,15.408333333333333,56.50833333333333,94.16666666666667,0.0,94.16666666666667,21.400000000000006,90.24166666666667,989.2833333333334,151.33333333333334,4.2666666666666675,9,0,1
23,2019-01-23,15.275,11.575000000000001,218.41666666666666,104.83333333333333,269.9166666666667,15.25,79.35833333333333,993.2416666666664,44.75,1.95,9,0,1
24,2019-01-24,15.950000000000001,34.449999999999996,144.41666666666666,60.75,175.41666666666666,17.491666666666667,75.45833333333333,995.1916666666665,258.0,1.8916666666666668,9,0,1
25,2019-01-25,14.79166666666667,8.891666666666664,196.75,158.08333333333334,274.4166666666667,13.674999999999999,67.85833333333333,994.7250000000003,320.1666666666667,2.7916666666666665,9,0,1
26,2019-01-26,14.533333333333331,0.875,112.0,517.6666666666666,379.5833333333333,8.25,60.241666666666674,997.6916666666666,322.9166666666667,3.1833333333333336,9,0,1
27,2019-01-27,13.966666666666663,27.974999999999998,161.58333333333334,115.75,211.25,8.716666666666667,58.366666666666674,997.9833333333335,307.4166666666667,3.891666666666667,9,0,1
28,2019-01-28,14.725000000000001,0.6666666666666666,103.25,552.75,389.5,7.175,53.82499999999999,997.9166666666666,309.75,4.258333333333334,9,0,1
29,2019-01-29,15.20833333333333,1.9000000000000004,105.58333333333333,531.9166666666666,388.9166666666667,7.508333333333334,51.43333333333334,996.3499999999999,311.9166666666667,3.9499999999999993,9,0,1
